Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.049006037414073944,1
32,0.0001,0.04832058772444725,1
32,1e-05,0.04907790198922157,9
32,1e-06,0.049841951578855515,17
32,1e-07,0.050922926515340805,19
64,0.001,0.04736516624689102,1
64,0.0001,0.05057515203952789,2
64,1e-05,0.048632532358169556,7
64,1e-06,0.050885796546936035,20
64,1e-07,0.05322916805744171,15
128,0.001,0.04769262298941612,1
128,0.0001,0.048950228840112686,1
128,1e-05,0.04901881888508797,13
128,1e-06,0.050137367099523544,17
128,1e-07,0.05336054787039757,19
256,0.001,0.049490489065647125,1
256,0.0001,0.04860589653253555,2
256,1e-05,0.04901495203375816,20
256,1e-06,0.051382724195718765,19
256,1e-07,0.05145950987935066,19
512,0.001,0.049362946301698685,4
512,0.0001,0.049678727984428406,2
512,1e-05,0.04935910552740097,19
512,1e-06,0.050667066127061844,20
512,1e-07,0.05182985961437225,20
