Hidden Dim,Noise Dim,Number Layer,Validation Energy Loss,Achieved in Block
50,750,8,0.036240048706531525,10
50,750,10,0.03528010845184326,9
50,750,14,0.036939047276973724,10
50,1000,8,0.03609033674001694,7
50,1000,10,0.03635106235742569,10
50,1000,14,0.03613102436065674,8
100,750,8,0.03654208779335022,3
100,750,10,0.036524735391139984,6
100,750,14,0.03660444915294647,10
100,1000,8,0.03573262318968773,6
100,1000,10,0.03544781357049942,4
100,1000,14,0.03626949340105057,7
