Hidden Dim,Noise Dim,Number Layer,Validation Energy Loss,Achieved in Block
50,750,8,0.03624989092350006,7
50,750,10,0.034733474254608154,8
50,750,14,0.0360611267387867,8
50,1000,8,0.036894477903842926,10
50,1000,10,0.03568236529827118,5
50,1000,14,0.03619690239429474,5
100,750,8,0.03589867055416107,5
100,750,10,0.036077842116355896,8
100,750,14,0.036228083074092865,6
100,1000,8,0.03712626174092293,6
100,1000,10,0.03575701266527176,2
100,1000,14,0.03577534854412079,5
