Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.05053136497735977,1
32,0.0001,0.04920294135808945,1
32,1e-05,0.04903663694858551,7
32,1e-06,0.05290846526622772,9
32,1e-07,0.05159378424286842,9
64,0.001,0.046551257371902466,1
64,0.0001,0.048284679651260376,1
64,1e-05,0.04849995672702789,8
64,1e-06,0.05270560458302498,9
64,1e-07,0.05196905881166458,10
128,0.001,0.05041148513555527,1
128,0.0001,0.04837401211261749,1
128,1e-05,0.04902646690607071,8
128,1e-06,0.05044175684452057,9
128,1e-07,0.053150735795497894,9
256,0.001,0.0491064079105854,1
256,0.0001,0.04743658006191254,2
256,1e-05,0.0493118055164814,9
256,1e-06,0.05066699907183647,9
256,1e-07,0.05751119554042816,10
512,0.001,0.04724202677607536,3
512,0.0001,0.04894604533910751,4
512,1e-05,0.04962330311536789,10
512,1e-06,0.0525706484913826,1
512,1e-07,0.05279981717467308,9
