Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04992424696683884,1
32,0.0001,0.04863976314663887,1
32,1e-05,0.048791538923978806,4
32,1e-06,0.05102913826704025,10
32,1e-07,0.05055106803774834,9
64,0.001,0.050873901695013046,1
64,0.0001,0.05031821131706238,2
64,1e-05,0.048307497054338455,8
64,1e-06,0.050288233906030655,10
64,1e-07,0.05314825475215912,9
128,0.001,0.04814818874001503,1
128,0.0001,0.04952936992049217,2
128,1e-05,0.04811250790953636,10
128,1e-06,0.05150456726551056,10
128,1e-07,0.05462721735239029,10
256,0.001,0.048568498343229294,2
256,0.0001,0.05099911242723465,3
256,1e-05,0.05064709112048149,8
256,1e-06,0.05118068307638168,9
256,1e-07,0.0531143993139267,9
512,0.001,0.04657364264130592,2
512,0.0001,0.04932790249586105,2
512,1e-05,0.05192091688513756,2
512,1e-06,0.05067264661192894,8
512,1e-07,0.05206048861145973,10
