Epochs,Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Median Validation ES
100,256,0.001,100,1000,14,True,False,0.03867889195680618
100,256,0.001,100,1000,16,True,False,0.03831474855542183
100,256,0.001,150,1000,14,True,False,0.03933734819293022
100,256,0.001,150,1000,16,True,False,0.03737936168909073
