Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04809867963194847,1
32,0.0001,0.049212127923965454,2
32,1e-05,0.049239881336688995,4
32,1e-06,0.05101105943322182,9
32,1e-07,0.05203167349100113,9
64,0.001,0.050099149346351624,1
64,0.0001,0.04786601662635803,1
64,1e-05,0.048791877925395966,10
64,1e-06,0.05047719180583954,8
64,1e-07,0.05387704074382782,8
128,0.001,0.04803510755300522,1
128,0.0001,0.049291227012872696,2
128,1e-05,0.04868219420313835,9
128,1e-06,0.052097950130701065,7
128,1e-07,0.05368936061859131,9
256,0.001,0.04778582975268364,1
256,0.0001,0.049761075526475906,1
256,1e-05,0.049312084913253784,9
256,1e-06,0.05181894823908806,10
256,1e-07,0.05431867018342018,10
512,0.001,0.05029970407485962,2
512,0.0001,0.04944903403520584,4
512,1e-05,0.049402929842472076,10
512,1e-06,0.0522303432226181,10
512,1e-07,0.055685095489025116,10
