Epochs,Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Median Validation ES
100,256,0.001,100,1000,14,True,False,0.038567349314689636
100,256,0.001,100,1000,16,True,False,0.037119947373867035
100,256,0.001,150,1000,14,True,False,0.038456548005342484
100,256,0.001,150,1000,16,True,False,0.03794872760772705
