Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04938717186450958,2
32,0.0001,0.04715017229318619,1
32,1e-05,0.049018435180187225,8
32,1e-06,0.049937810748815536,10
32,1e-07,0.051324062049388885,8
64,0.001,0.0480685830116272,2
64,0.0001,0.049444179981946945,1
64,1e-05,0.04728075861930847,10
64,1e-06,0.05043179541826248,10
64,1e-07,0.052808672189712524,10
128,0.001,0.0484752431511879,1
128,0.0001,0.048013586550951004,2
128,1e-05,0.04903958737850189,9
128,1e-06,0.051671307533979416,9
128,1e-07,0.05648703873157501,9
256,0.001,0.047876641154289246,2
256,0.0001,0.048742227256298065,2
256,1e-05,0.04905616119503975,9
256,1e-06,0.050175003707408905,8
256,1e-07,0.05532856285572052,10
512,0.001,0.04723196476697922,3
512,0.0001,0.049400318413972855,1
512,1e-05,0.04963427409529686,10
512,1e-06,0.05032922700047493,10
512,1e-07,0.05550553277134895,10
