Epochs,Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Median Validation ES
100,256,0.001,100,1000,18,True,False,0.03835313022136688
100,256,0.001,100,1000,20,True,False,0.03940383344888687
