Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04846916347742081,1
32,0.0001,0.04784597456455231,1
32,1e-05,0.049393557012081146,6
32,1e-06,0.050918690860271454,9
32,1e-07,0.05248401314020157,9
64,0.001,0.049817610532045364,1
64,0.0001,0.04886166751384735,1
64,1e-05,0.0488407164812088,8
64,1e-06,0.05055618658661842,9
64,1e-07,0.05426948145031929,10
128,0.001,0.04731868952512741,2
128,0.0001,0.04964558035135269,1
128,1e-05,0.04791056737303734,9
128,1e-06,0.05202609673142433,9
128,1e-07,0.05240793526172638,9
256,0.001,0.04948117956519127,1
256,0.0001,0.04824773967266083,3
256,1e-05,0.05078354850411415,10
256,1e-06,0.05134233832359314,10
256,1e-07,0.05319808050990105,10
512,0.001,0.04729660972952843,2
512,0.0001,0.048591673374176025,2
512,1e-05,0.05019889771938324,9
512,1e-06,0.0515621192753315,10
512,1e-07,0.05674375593662262,10
