Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.05085927993059158,2
32,0.0001,0.04932347685098648,2
32,1e-05,0.04903153330087662,8
32,1e-06,0.050296857953071594,9
32,1e-07,0.05512775853276253,10
64,0.001,0.04798903316259384,1
64,0.0001,0.04801982641220093,1
64,1e-05,0.04868316650390625,9
64,1e-06,0.051184091717004776,7
64,1e-07,0.052327822893857956,8
128,0.001,0.048846300691366196,3
128,0.0001,0.04847851023077965,1
128,1e-05,0.04908864572644234,10
128,1e-06,0.052492350339889526,7
128,1e-07,0.0567556731402874,10
256,0.001,0.050571322441101074,2
256,0.0001,0.049530740827322006,1
256,1e-05,0.048569053411483765,10
256,1e-06,0.05203866958618164,9
256,1e-07,0.053842753171920776,10
512,0.001,0.04930965229868889,1
512,0.0001,0.048184022307395935,3
512,1e-05,0.049916576594114304,9
512,1e-06,0.05118587613105774,10
512,1e-07,0.053110066801309586,8
