Epochs,Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Median Validation ES
50,256,0.001,100,1000,10,True,False,0.03818923607468605
50,256,0.0001,100,1000,10,True,False,0.03957482799887657
50,512,0.001,100,1000,10,True,False,0.03994514048099518
50,512,0.0001,100,1000,10,True,False,0.041658561676740646
100,256,0.001,100,1000,10,True,False,0.03673010692000389
100,256,0.0001,100,1000,10,True,False,0.039611224085092545
100,512,0.001,100,1000,10,True,False,0.03870123624801636
100,512,0.0001,100,1000,10,True,False,0.03946751356124878
