Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04937392845749855,1
32,0.0001,0.04894539341330528,1
32,1e-05,0.04912012815475464,7
32,1e-06,0.04963890090584755,19
32,1e-07,0.05425044149160385,20
64,0.001,0.047113172709941864,1
64,0.0001,0.04967476800084114,2
64,1e-05,0.049042388796806335,10
64,1e-06,0.05039142072200775,19
64,1e-07,0.052446577697992325,14
128,0.001,0.04942737892270088,1
128,0.0001,0.048198722302913666,2
128,1e-05,0.048763055354356766,10
128,1e-06,0.051814302802085876,14
128,1e-07,0.052865371108055115,20
256,0.001,0.04999232292175293,3
256,0.0001,0.04859602451324463,2
256,1e-05,0.04902378097176552,12
256,1e-06,0.05083844065666199,18
256,1e-07,0.05250994861125946,20
512,0.001,0.04853824898600578,3
512,0.0001,0.048510268330574036,3
512,1e-05,0.05011548846960068,18
512,1e-06,0.05132462456822395,20
512,1e-07,0.056149471551179886,20
