Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.05306188389658928,3
32,0.0001,0.04861454293131828,3
32,1e-05,0.04848959669470787,7
32,1e-06,0.049721941351890564,9
32,1e-07,0.05282227694988251,10
64,0.001,0.048091307282447815,1
64,0.0001,0.0484350323677063,1
64,1e-05,0.04768950864672661,7
64,1e-06,0.05025068670511246,10
64,1e-07,0.05364907532930374,7
128,0.001,0.048447318375110626,1
128,0.0001,0.04863405600190163,2
128,1e-05,0.049374714493751526,6
128,1e-06,0.05010480433702469,10
128,1e-07,0.055059727281332016,10
256,0.001,0.04680347815155983,2
256,0.0001,0.04779959097504616,2
256,1e-05,0.04952237382531166,9
256,1e-06,0.05139012634754181,10
256,1e-07,0.05232992395758629,10
512,0.001,0.04858017712831497,2
512,0.0001,0.04845043271780014,3
512,1e-05,0.05058117210865021,8
512,1e-06,0.050581417977809906,9
512,1e-07,0.054368410259485245,9
