Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Validation Energy Loss,Achieved in Block
512,0.001,10,1000,12,False,True,0.2069554626941681,9
512,0.001,10,1500,12,False,True,0.20575445890426636,8
512,0.001,10,2000,12,False,True,0.2054477483034134,8
512,0.001,25,1000,12,False,True,0.20706316828727722,5
512,0.001,25,1500,12,False,True,0.20657974481582642,9
512,0.001,25,2000,12,False,True,0.20544739067554474,5
512,0.001,50,1000,12,False,True,0.20679885149002075,5
512,0.001,50,1500,12,False,True,0.20664040744304657,2
512,0.001,50,2000,12,False,True,0.2067984789609909,7
