Epochs,Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Median Validation ES
100,256,0.001,100,1000,18,True,False,0.03746457397937775
100,256,0.001,100,1000,20,True,False,0.037661463022232056
