Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04964223504066467,1
32,0.0001,0.04825380817055702,1
32,1e-05,0.04828135296702385,7
32,1e-06,0.04990426450967789,19
32,1e-07,0.051393773406744,14
64,0.001,0.04816632345318794,1
64,0.0001,0.04925089329481125,1
64,1e-05,0.0492480993270874,8
64,1e-06,0.05018177255988121,17
64,1e-07,0.051213569939136505,20
128,0.001,0.05000217631459236,1
128,0.0001,0.0486709326505661,2
128,1e-05,0.048937082290649414,10
128,1e-06,0.050847556442022324,18
128,1e-07,0.05439307540655136,20
256,0.001,0.048397354781627655,1
256,0.0001,0.04741327837109566,3
256,1e-05,0.04876553267240524,17
256,1e-06,0.050676871091127396,10
256,1e-07,0.0528545007109642,20
512,0.001,0.047241631895303726,2
512,0.0001,0.050136640667915344,4
512,1e-05,0.04839201644062996,18
512,1e-06,0.050794243812561035,20
512,1e-07,0.05563158914446831,20
