Hidden Dim,Noise Dim,Number Layer,Validation Energy Loss,Achieved in Block
50,750,8,0.03656754270195961,6
50,750,10,0.03568786755204201,10
50,750,14,0.03586259111762047,5
50,1000,8,0.035251930356025696,8
50,1000,10,0.035684600472450256,6
50,1000,14,0.03629520162940025,3
100,750,8,0.03577873855829239,7
100,750,10,0.03635863959789276,8
100,750,14,0.03570892661809921,8
100,1000,8,0.03661123663187027,3
100,1000,10,0.036051563918590546,5
100,1000,14,0.03549708425998688,10
