Hidden Dim,Noise Dim,Number Layer,Validation Energy Loss,Achieved in Block
50,750,8,0.03605645149946213,7
50,750,10,0.035880640149116516,8
50,750,14,0.035923369228839874,9
50,1000,8,0.035982776433229446,7
50,1000,10,0.03646846115589142,10
50,1000,14,0.036026731133461,5
100,750,8,0.036169253289699554,5
100,750,10,0.03598327189683914,10
100,750,14,0.03635569289326668,8
100,1000,8,0.03657635301351547,7
100,1000,10,0.035336099565029144,8
100,1000,14,0.036114130169153214,6
