Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.049090426415205,4
32,0.0001,0.0507371686398983,2
32,1e-05,0.048621129244565964,5
32,1e-06,0.049581266939640045,19
32,1e-07,0.051600195467472076,20
64,0.001,0.04924972355365753,1
64,0.0001,0.048230819404125214,1
64,1e-05,0.04835675656795502,6
64,1e-06,0.04989238455891609,20
64,1e-07,0.05220602825284004,20
128,0.001,0.050393979996442795,2
128,0.0001,0.047144804149866104,2
128,1e-05,0.04934544116258621,12
128,1e-06,0.051072314381599426,19
128,1e-07,0.052997518330812454,20
256,0.001,0.047031573951244354,2
256,0.0001,0.04858528822660446,3
256,1e-05,0.04878111183643341,16
256,1e-06,0.05116664245724678,20
256,1e-07,0.05190190300345421,19
512,0.001,0.048239968717098236,2
512,0.0001,0.04962047562003136,4
512,1e-05,0.04997055605053902,18
512,1e-06,0.05281219631433487,16
512,1e-07,0.05352800339460373,20
