Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.05213966220617294,2
32,0.0001,0.04818244278430939,2
32,1e-05,0.049297481775283813,6
32,1e-06,0.0511285625398159,18
32,1e-07,0.05116330459713936,19
64,0.001,0.048893705010414124,2
64,0.0001,0.050087809562683105,1
64,1e-05,0.04943374544382095,5
64,1e-06,0.05015164241194725,19
64,1e-07,0.05185497924685478,17
128,0.001,0.04805313050746918,1
128,0.0001,0.04832707718014717,2
128,1e-05,0.0481722429394722,12
128,1e-06,0.051482368260622025,5
128,1e-07,0.051747675985097885,19
256,0.001,0.048564840108156204,1
256,0.0001,0.04849419742822647,2
256,1e-05,0.04988131672143936,14
256,1e-06,0.05114387348294258,4
256,1e-07,0.05877706781029701,20
512,0.001,0.04876762628555298,2
512,0.0001,0.05018731951713562,3
512,1e-05,0.04868379980325699,18
512,1e-06,0.05098743736743927,15
512,1e-07,0.05778207257390022,20
