Hidden Dim,Noise Dim,Number Layer,Validation Energy Loss,Achieved in Block
50,750,8,0.036009423434734344,9
50,750,10,0.03538370877504349,7
50,750,14,0.03587185591459274,9
50,1000,8,0.03620593622326851,10
50,1000,10,0.03661618381738663,7
50,1000,14,0.03670070320367813,7
100,750,8,0.03664316236972809,3
100,750,10,0.03644586354494095,10
100,750,14,0.03621070832014084,5
100,1000,8,0.03559686988592148,7
100,1000,10,0.03547108173370361,10
100,1000,14,0.036479461938142776,9
