Epochs,Batch Size,LR,Hidden Dim,Noise Dim,Num Layer,Add BN,Resblock,Median ES,Mean ES,Min ES,Max ES
50,256,0.001,100,1000,10,True,False,0.0382289811968803,0.03837505479653673,0.038189236074686,0.0387069471180439
50,256,0.0001,100,1000,10,True,False,0.0405474938452243,0.040481887757778105,0.0395748279988765,0.0413233414292335
50,512,0.001,100,1000,10,True,False,0.0383777543902397,0.03887496640284851,0.0383020043373107,0.0399451404809951
50,512,0.0001,100,1000,10,True,False,0.0416763573884964,0.041773999730745935,0.0416585616767406,0.0419870801270008
100,256,0.001,100,1000,10,True,False,0.0368688553571701,0.03735344484448427,0.0367301069200038,0.0384613722562789
100,256,0.0001,100,1000,10,True,False,0.0390180349349975,0.03904421379168824,0.0385033823549747,0.0396112240850925
100,512,0.001,100,1000,10,True,False,0.0378534644842147,0.0378920063376426,0.0371213182806968,0.0387012362480163
100,512,0.0001,100,1000,10,True,False,0.0394832380115985,0.039648069689671134,0.0394675135612487,0.0399934574961662
