Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04974393546581268,1
32,0.0001,0.04847295209765434,3
32,1e-05,0.04878094792366028,5
32,1e-06,0.049342695623636246,8
32,1e-07,0.0522281751036644,10
64,0.001,0.05131647735834122,2
64,0.0001,0.04924584552645683,1
64,1e-05,0.04799456149339676,8
64,1e-06,0.050479672849178314,10
64,1e-07,0.050934989005327225,10
128,0.001,0.04835432395339012,1
128,0.0001,0.04842691123485565,1
128,1e-05,0.04915624484419823,9
128,1e-06,0.05144158750772476,8
128,1e-07,0.05503922328352928,6
256,0.001,0.04708915948867798,1
256,0.0001,0.04912542551755905,2
256,1e-05,0.05043349415063858,4
256,1e-06,0.05123317241668701,10
256,1e-07,0.053659453988075256,10
512,0.001,0.04701656103134155,2
512,0.0001,0.049258485436439514,2
512,1e-05,0.05131760612130165,10
512,1e-06,0.05397666245698929,10
512,1e-07,0.05523661896586418,10
