Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.050042230635881424,1
32,0.0001,0.050174530595541,2
32,1e-05,0.04858680069446564,7
32,1e-06,0.05117938667535782,10
32,1e-07,0.05249977856874466,10
64,0.001,0.05005591735243797,1
64,0.0001,0.049068063497543335,1
64,1e-05,0.048548754304647446,9
64,1e-06,0.050128038972616196,9
64,1e-07,0.05431126803159714,10
128,0.001,0.05023319274187088,3
128,0.0001,0.0481998473405838,2
128,1e-05,0.04879993572831154,10
128,1e-06,0.05163981765508652,8
128,1e-07,0.05466856062412262,6
256,0.001,0.04825487360358238,2
256,0.0001,0.04935909062623978,1
256,1e-05,0.04975848272442818,9
256,1e-06,0.05051907151937485,9
256,1e-07,0.05268985405564308,10
512,0.001,0.0473625548183918,2
512,0.0001,0.04950742423534393,3
512,1e-05,0.05051271989941597,10
512,1e-06,0.050997719168663025,9
512,1e-07,0.05617012083530426,10
