Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.049502596259117126,1
32,0.0001,0.04799318686127663,1
32,1e-05,0.048846229910850525,6
32,1e-06,0.051726412028074265,8
32,1e-07,0.05186446011066437,6
64,0.001,0.049508236348629,1
64,0.0001,0.04897724837064743,2
64,1e-05,0.048670560121536255,7
64,1e-06,0.052921075373888016,10
64,1e-07,0.05181574821472168,10
128,0.001,0.04854397475719452,1
128,0.0001,0.04786068946123123,1
128,1e-05,0.04829544201493263,9
128,1e-06,0.04989398270845413,10
128,1e-07,0.05235880985856056,10
256,0.001,0.0485931895673275,2
256,0.0001,0.04868724197149277,2
256,1e-05,0.04843832924962044,9
256,1e-06,0.051488786935806274,10
256,1e-07,0.05256366729736328,9
512,0.001,0.04913611337542534,2
512,0.0001,0.047681648284196854,3
512,1e-05,0.04953348636627197,10
512,1e-06,0.05177434906363487,10
512,1e-07,0.05547747761011124,10
