Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.0505467988550663,2
32,0.0001,0.04853881150484085,1
32,1e-05,0.04850676283240318,8
32,1e-06,0.05021122470498085,10
32,1e-07,0.05311068147420883,9
64,0.001,0.04885938763618469,1
64,0.0001,0.04848811775445938,1
64,1e-05,0.04810260981321335,7
64,1e-06,0.05094556882977486,10
64,1e-07,0.05376365780830383,10
128,0.001,0.04871996119618416,1
128,0.0001,0.04804183915257454,2
128,1e-05,0.049961309880018234,10
128,1e-06,0.051198311150074005,10
128,1e-07,0.0549856461584568,10
256,0.001,0.048100315034389496,1
256,0.0001,0.049105171114206314,2
256,1e-05,0.05087309703230858,9
256,1e-06,0.051460281014442444,9
256,1e-07,0.052856720983982086,9
512,0.001,0.04622818902134895,2
512,0.0001,0.0483679436147213,4
512,1e-05,0.05052454024553299,9
512,1e-06,0.05331480875611305,10
512,1e-07,0.05711676925420761,10
