,ES,VS,DSS
Baseline Model,0.031123274301209744,0.22891179624260688,-73.74950572167816
Refit Model,0.030976406321373766,0.22578643353617922,-74.62765086726854
Ablation Refit Model,0.030936475975690568,0.22621001655958137,-74.71061195781382
