,Baseline Model ES,Refit Model ES,Ablation Refit Model ES
Min,0.01108350491333008,0.011234623046875003,0.011207998016357423
1%-Percentile,0.013240613300781252,0.01344549158325195,0.013492903602294925
Median,0.026399213348388677,0.026023773193359377,0.025953883758544922
Mean,0.031123274301209744,0.030976406321373766,0.030936475975690568
STD,0.016660981627502822,0.016540470763558416,0.01653707820995398
99%-Percentile,0.09238884780761722,0.09142662020019533,0.09148331463378909
Max,0.1067052487792969,0.10469596057128906,0.10327101171875
Range,0.09562174386596681,0.09346133752441406,0.09206301370239257
