,Baseline Model ES,Refit Model ES,Ablation Refit Model ES
0,0.01740284848022461,0.01677113656616211,0.01687106546020508
1,0.02453856610107422,0.024405578765869147,0.02495052880859375
2,0.032462767395019534,0.03214920263671875,0.031080559753417975
3,0.02598134716796875,0.026120711608886717,0.02635236346435547
4,0.025244940856933597,0.025780663085937506,0.025564414154052733
5,0.02764312341308594,0.02599706753540039,0.024091533813476566
6,0.051372100463867185,0.05098268328857422,0.052431706420898436
7,0.014513263671874999,0.01466837841796875,0.01473982641601563
8,0.03338382159423828,0.03257100030517579,0.03272897640991211
9,0.04872928204345703,0.047939275512695306,0.04797129919433593
10,0.08163471594238282,0.0822218095703125,0.08451226806640624
11,0.032125922363281254,0.03129960220336914,0.031232451293945314
12,0.08579302416992188,0.0845541046142578,0.08442029406738281
13,0.1067052487792969,0.10469596057128906,0.10327101171875
14,0.038873423889160166,0.037955364013671875,0.038012766235351575
15,0.03747886120605469,0.0365471138305664,0.03624666723632813
16,0.0438672055053711,0.04307742596435547,0.041712979797363284
17,0.01678765219116211,0.01762236413574219,0.017105617523193357
18,0.03520840118408203,0.03704965841674805,0.0377943451538086
19,0.022470924865722657,0.02211023571777344,0.022144167755126957
20,0.021914127868652343,0.022012679321289065,0.021758941864013674
21,0.035109918914794924,0.03548255780029297,0.034510500640869135
22,0.031914297576904296,0.029871308715820312,0.029170775512695313
23,0.02312268621826172,0.023392621643066408,0.02341560977172852
24,0.041554389465332034,0.03718050054931642,0.03581794775390625
25,0.014065823547363278,0.014342354309082036,0.01405318267822266
26,0.0271318424987793,0.02645130303955078,0.026702828002929686
27,0.021530134124755858,0.02116434573364258,0.020857209899902345
28,0.024717796752929688,0.024388134918212893,0.024850576904296873
29,0.053266505798339844,0.05056232763671875,0.05120382531738282
30,0.02481813647460938,0.024757321899414063,0.02497143444824219
31,0.020976110961914065,0.02314423699951172,0.022312555847167972
32,0.037380998596191414,0.03797346325683594,0.038460904113769526
33,0.01873248736572266,0.017584618591308592,0.0177944252319336
34,0.018284891693115236,0.018721770202636722,0.01855360437011719
35,0.03580634545898438,0.03556238714599609,0.03515287582397461
36,0.06832292028808594,0.06873099462890625,0.0690377816772461
37,0.0357112396850586,0.035646926452636715,0.03515009649658203
38,0.020240755004882816,0.02046447509765625,0.020556974060058592
39,0.0626251371459961,0.061492901428222654,0.0616772339477539
40,0.049300941955566405,0.04926166857910157,0.04987309643554688
41,0.02505932528686524,0.02117584295654297,0.02036520098876953
42,0.02921025134277344,0.028504291748046875,0.028523830993652348
43,0.03150455093383789,0.031692945190429686,0.03199014825439453
44,0.026712939361572267,0.027428814636230474,0.02663761560058594
45,0.01544357833862305,0.014823822265625002,0.015190218841552732
46,0.020069867950439454,0.02003757116699219,0.020633540222167967
47,0.035167731658935546,0.03560049981689453,0.03455992358398438
48,0.05197809265136719,0.05263246923828125,0.05474101696777344
49,0.023988955078125,0.0229439306640625,0.023197083190917966
50,0.02692105532836914,0.024540023345947265,0.023768209381103515
51,0.018594603515625002,0.019458096740722658,0.019642465209960935
52,0.015061254394531251,0.014645704132080082,0.014715382446289067
53,0.022712612274169923,0.022995657104492185,0.021832727355957034
54,0.04219448107910157,0.040632417724609377,0.039642614624023444
55,0.01717129608154297,0.017174660400390625,0.017096895996093753
56,0.018563611328125,0.018259812438964844,0.018496604980468755
57,0.029181580566406247,0.02823996368408203,0.028305238830566404
58,0.015233462310791018,0.015086465881347655,0.015293076232910156
59,0.052817315429687504,0.05354278698730469,0.05421489331054687
60,0.029256057373046877,0.03025364541625977,0.03229203939819336
61,0.01564992169189453,0.015516767211914063,0.01562414971923828
62,0.02049676953125,0.020009031555175784,0.01974631970214844
63,0.045269716186523444,0.04480701623535157,0.04433858862304688
64,0.017418573242187502,0.01780232583618164,0.017654327575683595
65,0.03194190728759766,0.03179874603271485,0.03081707913208008
66,0.04884006689453125,0.049195097045898445,0.04925019567871094
67,0.025716054595947266,0.025553466522216798,0.025415207092285157
68,0.02148186740112305,0.02115519079589844,0.021239838439941407
69,0.022122341247558595,0.021929502075195315,0.021626836853027343
70,0.025769753173828125,0.025312818603515627,0.02562599780273438
71,0.037649987792968756,0.03706800134277343,0.037050345184326164
72,0.04496915771484375,0.04411823559570313,0.04409586999511719
73,0.018920217620849607,0.0193995673828125,0.01919932232666016
74,0.04573279821777344,0.04525423522949218,0.04536287969970704
75,0.043579554565429696,0.04364232202148438,0.04308052136230468
76,0.02688917779541016,0.026926398132324218,0.026681865600585938
77,0.03064594619750977,0.031471926849365235,0.030933826354980466
78,0.022937499389648442,0.021556561462402344,0.021643602294921873
79,0.05527980517578125,0.05636906951904297,0.055136005432128904
80,0.014830490417480469,0.014301016845703125,0.014818163146972659
81,0.017957633422851563,0.016512031890869142,0.016915521301269536
82,0.01740476226806641,0.017555563659667966,0.017025056152343752
83,0.08516217504882811,0.083475404296875,0.08248374523925782
84,0.037432044006347656,0.03890942266845704,0.03876830139160156
85,0.017420238708496096,0.018059269470214846,0.01772417401123047
86,0.030130113739013673,0.03125273855590821,0.03143106246948242
87,0.025107880187988287,0.025086791809082035,0.025765231597900392
88,0.02799481433105469,0.02807335995483399,0.027062453674316412
89,0.022016257598876956,0.02288924285888672,0.022753073425292973
90,0.02710200445556641,0.027449647216796876,0.02770269549560547
91,0.037754987762451175,0.03720728439331056,0.038731772827148445
92,0.015972668518066405,0.01593424700927734,0.016299561401367187
93,0.023036377502441408,0.02342667239379883,0.022991926910400393
94,0.03583081732177734,0.03561667700195313,0.035314462005615235
95,0.015551962066650389,0.01519339224243164,0.015424544006347657
96,0.031661366455078124,0.031029449951171875,0.030774072631835937
97,0.03119842385864258,0.030571091369628905,0.03066343505859375
