,Baseline Model VS,Refit Model VS,Ablation Refit Model VS
Min,0.08019024133682251,0.08405016362667084,0.08240307867527008
1%-Percentile,0.08839520156383514,0.08593630522489548,0.0884768858551979
Median,0.16781409084796906,0.16533604264259338,0.16564591228961945
Mean,0.22891179624260688,0.22578643353617922,0.22621001655958137
STD,0.1775341738905892,0.17214351575720072,0.17228358967685808
99%-Percentile,1.0674241590499887,1.036346852779389,1.0362555313110358
Max,1.2367162704467773,1.2243711948394775,1.2317463159561157
Range,1.1565260291099548,1.1403210312128067,1.1493432372808456
