,Median EL,Mean EL,ES
Baseline Model,0.031030396930873394,0.03140194993466139,0.031123274301209744
Refit Model,0.030663153156638145,0.02949839455799924,0.030976406321373766
Ablation Refit Model,0.03051285818219185,0.029492115767465698,0.030936475975690568
