,Baseline Model VS,Refit Model VS,Ablation Refit Model VS
0,0.1189344972372055,0.12170397490262985,0.1184367910027504
1,0.11222700029611588,0.11253518611192703,0.1143462285399437
2,0.23168885707855225,0.22567200660705566,0.2262485772371292
3,0.20370090007781982,0.20470230281352997,0.20188534259796143
4,0.11142435669898987,0.12127898633480072,0.11790324002504349
5,0.12507988512516022,0.12503911554813385,0.12559154629707336
6,0.21410787105560303,0.20806220173835754,0.21188108623027802
7,0.10559697449207306,0.10925405472517014,0.10824880003929138
8,0.24147912859916687,0.23559924960136414,0.2384921759366989
9,0.33329224586486816,0.3242908716201782,0.3257645070552826
10,0.7990853190422058,0.8037276864051819,0.7763487100601196
11,0.27103832364082336,0.26411139965057373,0.26987963914871216
12,0.6117708683013916,0.6016337871551514,0.605950117111206
13,1.2367162704467773,1.2243711948394775,1.2317463159561157
14,0.36169445514678955,0.36272475123405457,0.3618200123310089
15,0.3541931211948395,0.34388211369514465,0.34527236223220825
16,0.297639936208725,0.2894739806652069,0.28943827748298645
17,0.12942995131015778,0.12785476446151733,0.12536771595478058
18,0.22494429349899292,0.22248172760009766,0.22562097012996674
19,0.1878003180027008,0.18819235265254974,0.1852668821811676
20,0.18302667140960693,0.18251772224903107,0.18073251843452454
21,0.16541481018066406,0.16802820563316345,0.16752952337265015
22,0.2669980525970459,0.26780596375465393,0.264878511428833
23,0.23979556560516357,0.2410266250371933,0.23339976370334625
24,0.10361485183238983,0.10037996619939804,0.10169248282909393
25,0.12147076427936554,0.13085143268108368,0.12742376327514648
26,0.20351165533065796,0.19946537911891937,0.20499736070632935
27,0.19735097885131836,0.19814638793468475,0.19844919443130493
28,0.11145375669002533,0.11924703419208527,0.12165071070194244
29,0.4657481908798218,0.45925045013427734,0.4717538356781006
30,0.21174319088459015,0.20568405091762543,0.21027880907058716
31,0.19874288141727448,0.19730742275714874,0.20018398761749268
32,0.33932533860206604,0.33338022232055664,0.3358164429664612
33,0.1573384702205658,0.15438346564769745,0.1563698947429657
34,0.11652351915836334,0.11801708489656448,0.11548927426338196
35,0.3472895622253418,0.34357690811157227,0.3444293439388275
36,0.6249319911003113,0.601170003414154,0.6005101203918457
37,0.36411595344543457,0.35698437690734863,0.3596285581588745
38,0.14589214324951172,0.14568090438842773,0.14860789477825165
