,Baseline Model DSS,Refit Model DSS,Ablation Refit Model DSS
Min,-91.75872993345564,-91.49223758858695,-91.65330314655519
1%-Percentile,-90.72545238598306,-90.23606894080898,-90.29462946804188
Median,-80.27575633562259,-80.43771615742087,-80.6105716598987
Mean,-73.74950572167816,-74.62765086726854,-74.71061195781382
STD,22.324373695720162,20.494088856698127,19.885016399638307
99%-Percentile,51.32637152403726,39.440518999063855,35.38581869281611
Max,74.93277855882133,53.925582592319444,53.41741834269111
Range,166.69150849227697,145.4178201809064,145.0707214892463
