,Min,Median,Max
Baseline Model EL,0.03094583749771118,0.031030396930873394,0.033023618161678314
Refit Model EL,0.014832133427262306,0.030663153156638145,0.038558751344680786
Ablation Refit Model EL,0.013818429782986641,0.03051285818219185,0.03956279158592224
