Hidden Dim,Noise Dim,Number Layer,Validation Energy Loss,Achieved in Block
50,750,8,0.03650069236755371,6
50,750,10,0.036049094051122665,4
50,750,14,0.03615451604127884,4
50,1000,8,0.03619956970214844,8
50,1000,10,0.03622805327177048,8
50,1000,14,0.03628913313150406,9
100,750,8,0.03632286190986633,4
100,750,10,0.036117710173130035,9
100,750,14,0.036225881427526474,10
100,1000,8,0.03620726615190506,3
100,1000,10,0.0355929359793663,7
100,1000,14,0.036469969898462296,9
