Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Validation Energy Loss,Achieved in Block
512,0.001,10,1000,12,False,True,0.20668740570545197,6
512,0.001,10,1500,12,False,True,0.20572833716869354,9
512,0.001,10,2000,12,False,True,0.20571845769882202,6
512,0.001,25,1000,12,False,True,0.20694708824157715,7
512,0.001,25,1500,12,False,True,0.205714613199234,9
512,0.001,25,2000,12,False,True,0.20570455491542816,6
512,0.001,50,1000,12,False,True,0.20764018595218658,4
512,0.001,50,1500,12,False,True,0.2069353312253952,4
512,0.001,50,2000,12,False,True,0.20612242817878723,10
