Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Validation Energy Loss,Achieved in Block
64,0.001,100,100,2,True,False,0.2588673233985901,2
64,0.0001,100,100,2,True,False,0.24401754140853882,1
64,1e-05,100,100,2,True,False,0.24449700117111206,9
128,0.001,100,100,2,True,False,0.25053495168685913,1
128,0.0001,100,100,2,True,False,0.24480769038200378,2
128,1e-05,100,100,2,True,False,0.2461775243282318,11
256,0.001,100,100,2,True,False,0.25327080488204956,1
256,0.0001,100,100,2,True,False,0.24575741589069366,2
256,1e-05,100,100,2,True,False,0.24671679735183716,15
512,0.001,100,100,2,True,False,0.2408241331577301,1
512,0.0001,100,100,2,True,False,0.24371102452278137,4
512,1e-05,100,100,2,True,False,0.2488054484128952,20
