Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04987702518701553,1
32,0.0001,0.047920193523168564,1
32,1e-05,0.048692021518945694,10
32,1e-06,0.04984256252646446,17
32,1e-07,0.05133404955267906,20
64,0.001,0.04905625432729721,1
64,0.0001,0.04850529879331589,1
64,1e-05,0.04802955314517021,10
64,1e-06,0.0498511902987957,20
64,1e-07,0.052179835736751556,16
128,0.001,0.04683135822415352,2
128,0.0001,0.04868008568882942,1
128,1e-05,0.050153158605098724,10
128,1e-06,0.0522424690425396,18
128,1e-07,0.052700385451316833,19
256,0.001,0.0486990362405777,1
256,0.0001,0.047569792717695236,2
256,1e-05,0.04998987168073654,16
256,1e-06,0.05004356801509857,18
256,1e-07,0.05152164772152901,20
512,0.001,0.047231633216142654,2
512,0.0001,0.04876210168004036,2
512,1e-05,0.04974077269434929,17
512,1e-06,0.05207207426428795,20
512,1e-07,0.05261456221342087,20
