Epochs,Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Median Validation ES
50,256,0.001,100,1000,10,True,False,0.03822898119688034
50,256,0.0001,100,1000,10,True,False,0.04132334142923355
50,512,0.001,100,1000,10,True,False,0.03830200433731079
50,512,0.0001,100,1000,10,True,False,0.0416763573884964
100,256,0.001,100,1000,10,True,False,0.036868855357170105
100,256,0.0001,100,1000,10,True,False,0.03850338235497475
100,512,0.001,100,1000,10,True,False,0.03712131828069687
100,512,0.0001,100,1000,10,True,False,0.03999345749616623
