Hidden Dim,Noise Dim,Number Layer,Validation Energy Loss,Achieved in Block
50,750,8,0.03612993285059929,10
50,750,10,0.03572513908147812,8
50,750,14,0.03507327660918236,4
50,1000,8,0.036448121070861816,7
50,1000,10,0.03516588360071182,5
50,1000,14,0.036331817507743835,10
100,750,8,0.036074198782444,6
100,750,10,0.036404259502887726,5
100,750,14,0.03605972230434418,6
100,1000,8,0.03644959628582001,7
100,1000,10,0.03608234226703644,7
100,1000,14,0.036271657794713974,6
