Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.05075346305966377,2
32,0.0001,0.04812317341566086,1
32,1e-05,0.04843806475400925,9
32,1e-06,0.050019100308418274,9
32,1e-07,0.052678871899843216,9
64,0.001,0.05228626728057861,1
64,0.0001,0.048773813992738724,2
64,1e-05,0.04932880774140358,7
64,1e-06,0.05002107843756676,10
64,1e-07,0.05400194972753525,9
128,0.001,0.04985732212662697,1
128,0.0001,0.04758305847644806,2
128,1e-05,0.0492415726184845,10
128,1e-06,0.05027057230472565,10
128,1e-07,0.05511666461825371,8
256,0.001,0.0479045994579792,1
256,0.0001,0.049679532647132874,3
256,1e-05,0.05146896094083786,8
256,1e-06,0.05093420669436455,9
256,1e-07,0.057193346321582794,10
512,0.001,0.04710841178894043,2
512,0.0001,0.0475216880440712,3
512,1e-05,0.05017848312854767,10
512,1e-06,0.05030318349599838,10
512,1e-07,0.053017761558294296,10
