Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.05060011148452759,4
32,0.0001,0.04840690270066261,1
32,1e-05,0.048048414289951324,9
32,1e-06,0.050404246896505356,3
32,1e-07,0.053323037922382355,8
64,0.001,0.050231508910655975,2
64,0.0001,0.04929221048951149,1
64,1e-05,0.04815616086125374,6
64,1e-06,0.04943866655230522,4
64,1e-07,0.05299412086606026,10
128,0.001,0.050973039120435715,2
128,0.0001,0.04953592270612717,1
128,1e-05,0.04742283746600151,10
128,1e-06,0.052154991775751114,10
128,1e-07,0.054740335792303085,10
256,0.001,0.048805370926856995,1
256,0.0001,0.04888986051082611,1
256,1e-05,0.05037597939372063,8
256,1e-06,0.052065685391426086,10
256,1e-07,0.05476495251059532,10
512,0.001,0.04613260179758072,2
512,0.0001,0.04906339943408966,2
512,1e-05,0.05024288222193718,10
512,1e-06,0.05210190638899803,9
512,1e-07,0.051703810691833496,8
