Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.05003118887543678,3
32,0.0001,0.04869875684380531,1
32,1e-05,0.04923171177506447,4
32,1e-06,0.05059663578867912,20
32,1e-07,0.05103049799799919,18
64,0.001,0.04703875258564949,1
64,0.0001,0.048440445214509964,2
64,1e-05,0.049318280071020126,8
64,1e-06,0.04987137019634247,20
64,1e-07,0.051792290061712265,20
128,0.001,0.04848506674170494,1
128,0.0001,0.04808897152543068,1
128,1e-05,0.048430487513542175,8
128,1e-06,0.05086854472756386,18
128,1e-07,0.055794473737478256,20
256,0.001,0.047970376908779144,3
256,0.0001,0.04901687800884247,2
256,1e-05,0.049438636749982834,15
256,1e-06,0.05036472529172897,19
256,1e-07,0.052674438804388046,20
512,0.001,0.04835117608308792,2
512,0.0001,0.04942142590880394,5
512,1e-05,0.049398452043533325,19
512,1e-06,0.051216356456279755,19
512,1e-07,0.05850290507078171,20
