Epochs,Batch Size,LR,Hidden Dim,Noise Dim,Num Layer,Add BN,Resblock,Median ES,Mean ES,Min ES,Max ES
100,256,0.001,100,1000,18,True,False,0.0376750454306602,0.037830916543801565,0.0374645739793777,0.0383531302213668
100,256,0.001,100,1000,20,True,False,0.037661463022232,0.037978651622931105,0.0368706583976745,0.0394038334488868
