Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.05033731088042259,1
32,0.0001,0.04859605059027672,2
32,1e-05,0.04730479046702385,8
32,1e-06,0.04974658414721489,19
32,1e-07,0.052508644759655,20
64,0.001,0.04910724610090256,1
64,0.0001,0.04865749180316925,1
64,1e-05,0.04833344370126724,8
64,1e-06,0.050547998398542404,20
64,1e-07,0.051724545657634735,18
128,0.001,0.04770679026842117,1
128,0.0001,0.048854678869247437,3
128,1e-05,0.048117540776729584,12
128,1e-06,0.04909255728125572,16
128,1e-07,0.05169668421149254,20
256,0.001,0.04791385307908058,1
256,0.0001,0.04909544438123703,2
256,1e-05,0.04910019785165787,20
256,1e-06,0.05243516340851784,20
256,1e-07,0.05566547065973282,20
512,0.001,0.047816041857004166,3
512,0.0001,0.04935663938522339,2
512,1e-05,0.04963383823633194,18
512,1e-06,0.050679031759500504,18
512,1e-07,0.05782410129904747,20
