Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.05219277739524841,4
32,0.0001,0.048363156616687775,1
32,1e-05,0.0488833487033844,7
32,1e-06,0.04981470853090286,19
32,1e-07,0.051960255950689316,16
64,0.001,0.04988795146346092,2
64,0.0001,0.04778327792882919,1
64,1e-05,0.04769090935587883,6
64,1e-06,0.050469160079956055,18
64,1e-07,0.0523015558719635,20
128,0.001,0.049371037632226944,1
128,0.0001,0.04800198972225189,2
128,1e-05,0.04886607825756073,12
128,1e-06,0.05031074211001396,16
128,1e-07,0.05263279750943184,20
256,0.001,0.047816500067710876,2
256,0.0001,0.048416756093502045,2
256,1e-05,0.04965722933411598,15
256,1e-06,0.05150912329554558,20
256,1e-07,0.05861269310116768,20
512,0.001,0.04758252203464508,2
512,0.0001,0.050223588943481445,4
512,1e-05,0.049197521060705185,18
512,1e-06,0.05197123810648918,20
512,1e-07,0.057380445301532745,20
