,Median EL,Mean EL,ES
Baseline Model,0.03101581335067749,0.031208899058401584,0.031063628206836932
Refit Model,0.03060478623956442,0.030622315779328346,0.0310268627147441
Ablation Refit Model,0.030594117008149624,0.030571147985756397,0.030991289043317525
