,Baseline Model ES,Refit Model ES,Ablation Refit Model ES
Min,0.011788010070800787,0.011513090820312502,0.011383305053710938
1%-Percentile,0.01353590341308594,0.01330437928833008,0.013505916301269532
Median,0.026324812469482425,0.026304649169921878,0.02623946405029297
Mean,0.031063628206836932,0.0310268627147441,0.030991289043317525
STD,0.016451899842698358,0.016610991916137626,0.01649580633625742
99%-Percentile,0.09197368450683596,0.09196161844970706,0.0914172918652344
Max,0.10434100756835939,0.10547663476562501,0.10508679211425781
Range,0.0925529974975586,0.0939635439453125,0.09370348706054688
