,Baseline Model DSS,Refit Model DSS,Ablation Refit Model DSS
Min,-91.65385577872858,-91.1331575624044,-91.50556702247864
1%-Percentile,-90.58973631131674,-90.41644348335849,-90.51350910294443
Median,-80.16544268315593,-80.2233070314244,-80.31652006962241
Mean,-74.39963862644285,-74.46383608895988,-74.83788598483756
STD,21.093875543214697,20.68589625517229,19.653589960552825
99%-Percentile,41.62466160357259,35.743808399530124,25.15422964862582
Max,62.34758274992319,65.21331897000279,58.356829451824254
Range,154.00143852865176,156.3464765324072,149.8623964743029
