,Min,Median,Max
Baseline Model EL,0.030932879075407982,0.03101581335067749,0.03301115334033966
Refit Model EL,0.030328573659062386,0.03060478623956442,0.03113575279712677
Ablation Refit Model EL,0.03022916615009308,0.030594117008149624,0.03084575943648815
