,Baseline Model VS,Refit Model VS,Ablation Refit Model VS
Min,0.08056145161390305,0.077277272939682,0.08421867340803146
1%-Percentile,0.08770207673311234,0.08751215875148773,0.08712983578443527
Median,0.16655343770980835,0.16678281128406525,0.16387224197387695
Mean,0.2266607457885937,0.2269074263013139,0.2259322940390937
STD,0.17485700050206243,0.174064198345974,0.17154191869499516
99%-Percentile,1.052520918846131,1.0389112401008613,1.0298618030548103
Max,1.2352970838546753,1.230831503868103,1.2249867916107178
Range,1.1547356322407722,1.153554230928421,1.1407681182026863
