,ES,VS,DSS
Baseline Model,0.031063628206836932,0.2266607457885937,-74.39963862644285
Refit Model,0.0310268627147441,0.2269074263013139,-74.46383608895988
Ablation Refit Model,0.030991289043317525,0.2259322940390937,-74.83788598483756
