,Baseline Model ES,Refit Model ES,Ablation Refit Model ES
0,0.01770030438232422,0.016497222106933596,0.017127229614257816
1,0.024833409484863286,0.024844528656005862,0.02479408880615234
2,0.03206135098266602,0.03148875686645508,0.031758241821289064
3,0.02641688250732422,0.0264686452331543,0.02662763433837891
4,0.024727652954101568,0.024895991638183592,0.025842164642333985
5,0.026692046203613283,0.025447520874023435,0.025913306549072267
6,0.051113740966796876,0.054519665161132824,0.05289821862792969
7,0.014671382110595706,0.014780433959960936,0.014547163452148442
8,0.034022860473632816,0.034270220581054694,0.03408305413818359
9,0.046614606750488286,0.048429596679687506,0.04739449713134765
10,0.0800226275024414,0.08225884704589843,0.08293660577392578
11,0.03214027984619141,0.032061858184814454,0.031923934631347656
12,0.08645517175292969,0.08529466711425782,0.08429813336181641
13,0.10434100756835939,0.10547663476562501,0.10508679211425781
14,0.03811227850341797,0.03782951568603515,0.03825090795898438
15,0.03674723321533203,0.03687306842041015,0.03635196051025391
16,0.04294577807617188,0.042299885375976565,0.04197445715332031
17,0.01728530767822266,0.016844832794189458,0.017700014587402346
18,0.0363223271484375,0.036489702514648434,0.03758027697753906
19,0.02223775994873047,0.022354554107666014,0.02221571954345703
20,0.02178854284667969,0.021824973632812505,0.022318429016113285
21,0.036710449523925784,0.03671056195068359,0.036648520629882816
22,0.030575925018310548,0.030516148925781254,0.029188822357177735
23,0.023038986511230465,0.02333494650268555,0.023440397857666016
24,0.03982491650390625,0.03878525598144532,0.03604751745605468
25,0.01411987228393555,0.013905986236572267,0.013946636779785155
26,0.028191414184570312,0.026813310089111333,0.026211666381835943
27,0.021396230712890627,0.02125169552612305,0.021607555419921876
28,0.02551064929199219,0.024793248596191406,0.025627846191406255
29,0.05093343786621094,0.05178285760498047,0.051579817871093746
30,0.02504130883789063,0.02513849212646484,0.02507793276977539
31,0.021900229675292968,0.021413974426269532,0.022671397521972662
32,0.037547304687500005,0.03860614770507813,0.03837234301757814
33,0.018556436523437497,0.018089462890624998,0.017715251525878908
34,0.01853334851074219,0.01869411520385742,0.018707619720458986
35,0.03598012670898437,0.036163612121582034,0.035428797119140626
36,0.06720431280517579,0.06914631677246094,0.06874565661621093
37,0.03555080978393556,0.03531126098632813,0.03532764569091797
38,0.02005142092895508,0.020474156372070316,0.02040571615600586
39,0.06128305432128907,0.06104265441894531,0.06207817468261719
40,0.04940037469482421,0.04982728479003906,0.04951396276855469
41,0.022621039306640625,0.020984563751220705,0.02120271942138672
42,0.029044241455078126,0.028872581604003907,0.028651654876708985
43,0.03186648120117187,0.03217723370361328,0.0316984997253418
44,0.026324812469482425,0.027188777954101562,0.02745535354614258
45,0.015358824462890625,0.015168503509521487,0.015167205261230467
46,0.020672755523681644,0.020284171447753904,0.020729181427001954
47,0.036002176574707036,0.034781379364013675,0.03493179965209961
48,0.05364686120605469,0.05398106115722656,0.05420421472167969
49,0.02371681500244141,0.02318848614501953,0.02300708056640625
50,0.024823328460693364,0.024371477294921878,0.02452832159423828
51,0.01985098620605469,0.01993208215332031,0.019651092407226563
52,0.014381667663574217,0.014309322448730469,0.014169444366455081
53,0.022037235778808596,0.021326035125732425,0.02210358047485352
