,Baseline Model VS,Refit Model VS,Ablation Refit Model VS
0,0.12479657679796219,0.11230658739805222,0.12433641403913498
1,0.11090420186519623,0.1124015599489212,0.11325560510158539
2,0.22473202645778656,0.23357683420181274,0.22693510353565216
3,0.20220157504081726,0.20002716779708862,0.19717499613761902
4,0.11109958589076996,0.11556394398212433,0.11716599017381668
5,0.12336638569831848,0.12331605702638626,0.12266397476196289
6,0.20565326511859894,0.21253584325313568,0.2092074751853943
7,0.10599717497825623,0.10458812862634659,0.1068924069404602
8,0.23773333430290222,0.23310060799121857,0.23826882243156433
9,0.3245287835597992,0.3296229839324951,0.3249930739402771
10,0.7934091687202454,0.7953935265541077,0.7944522500038147
11,0.2685689926147461,0.2646152973175049,0.25667402148246765
12,0.6159631013870239,0.6190845966339111,0.5969192385673523
13,1.2352970838546753,1.230831503868103,1.2249867916107178
14,0.35851767659187317,0.3629630208015442,0.35742947459220886
15,0.3520035147666931,0.3503013551235199,0.34107691049575806
16,0.2889975905418396,0.30031001567840576,0.28795892000198364
17,0.12552788853645325,0.1242075115442276,0.12762147188186646
18,0.21983355283737183,0.22169876098632812,0.22346574068069458
19,0.1825776845216751,0.18718938529491425,0.18769630789756775
20,0.18005497753620148,0.1797351837158203,0.17979495227336884
21,0.16512009501457214,0.16842806339263916,0.16925686597824097
22,0.25865158438682556,0.26619261503219604,0.2661684453487396
23,0.2375364452600479,0.2387923151254654,0.2376408874988556
24,0.10278546810150146,0.10276269912719727,0.10145554691553116
25,0.12468620389699936,0.1259312480688095,0.13050025701522827
26,0.20671238005161285,0.20963868498802185,0.20710986852645874
27,0.2009306102991104,0.19413083791732788,0.19660653173923492
28,0.11768980324268341,0.11861719191074371,0.1201876848936081
29,0.4580850601196289,0.47015947103500366,0.46632444858551025
30,0.20268672704696655,0.2070552259683609,0.20901547372341156
31,0.19749878346920013,0.19956424832344055,0.19900454580783844
32,0.32783544063568115,0.3415004014968872,0.3328225910663605
33,0.1549745351076126,0.15389327704906464,0.1574372947216034
