Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04973167926073074,1
32,0.0001,0.0495365709066391,2
32,1e-05,0.04994771629571915,6
32,1e-06,0.04958227276802063,18
32,1e-07,0.05101750046014786,13
64,0.001,0.05019897595047951,1
64,0.0001,0.04952200502157211,2
64,1e-05,0.049992144107818604,7
64,1e-06,0.05011744052171707,20
64,1e-07,0.05074838176369667,16
128,0.001,0.04797462001442909,1
128,0.0001,0.04850998520851135,2
128,1e-05,0.04907761514186859,15
128,1e-06,0.050431568175554276,20
128,1e-07,0.05463053286075592,20
256,0.001,0.04780444875359535,2
256,0.0001,0.04753922298550606,3
256,1e-05,0.048735350370407104,10
256,1e-06,0.05087164789438248,19
256,1e-07,0.056293029338121414,18
512,0.001,0.04816498979926109,3
512,0.0001,0.04897470399737358,2
512,1e-05,0.049838338047266006,20
512,1e-06,0.051829442381858826,20
512,1e-07,0.05779242515563965,20
